//------------------------------------------------------------------------------
//
// Sistema de Informações Hidrológicas
// Versão Web 3.0
// © 2001 Agência Nacional de Águas (ANA)
//
// NivelConsistencia: 1 = Bruto, 2 = Consistido
// MediaDiaria: 0 = Não, 1 = Sim
// MetodoObtencaoVazoes: 1 = Curva de descarga, 2 = Transferência de vazões, 3 = Soma de vazões, 4 = ADCP
// Status: 0 = Branco, 1 = Real, 2 = Estimado, 3 = Duvidoso, 4 = Régua Seca
//
// Restrições da consulta:
//   Código da Estação: 44300000
//
//------------------------------------------------------------------------------

//EstacaoCodigo;NivelConsistencia;Data;Hora;MediaDiaria;MetodoObtencaoVazoes;Maxima;Minima;Media;DiaMaxima;DiaMinima;MaximaStatus;MinimaStatus;MediaStatus;MediaAnual;MediaAnualStatus;Vazao01;Vazao02;Vazao03;Vazao04;Vazao05;Vazao06;Vazao07;Vazao08;Vazao09;Vazao10;Vazao11;Vazao12;Vazao13;Vazao14;Vazao15;Vazao16;Vazao17;Vazao18;Vazao19;Vazao20;Vazao21;Vazao22;Vazao23;Vazao24;Vazao25;Vazao26;Vazao27;Vazao28;Vazao29;Vazao30;Vazao31;Vazao01Status;Vazao02Status;Vazao03Status;Vazao04Status;Vazao05Status;Vazao06Status;Vazao07Status;Vazao08Status;Vazao09Status;Vazao10Status;Vazao11Status;Vazao12Status;Vazao13Status;Vazao14Status;Vazao15Status;Vazao16Status;Vazao17Status;Vazao18Status;Vazao19Status;Vazao20Status;Vazao21Status;Vazao22Status;Vazao23Status;Vazao24Status;Vazao25Status;Vazao26Status;Vazao27Status;Vazao28Status;Vazao29Status;Vazao30Status;Vazao31Status;
44300000;2;01/01/1934;;1;1;9680;2152;5801;7;31;1;1;1;;0;8274;8644;8924;9204;9470;9638;9652;9498;9232;8547;7663;6896;6134;5594;5534;5714;5666;5294;4821;4470;3680;3420;3141;3141;2939;2747;2584;2478;2382;2286;2152;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
44300000;2;01/02/1934;;1;1;1923;1128;1463;1;27;1;1;1;;0;1923;1833;1770;1770;1788;1833;1860;1833;1743;1656;1576;1496;1416;1352;1312;1272;1232;1192;1168;1176;1224;1280;1280;1264;1248;1176;1128;1176;;;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;;
44300000;2;01/03/1934;;1;1;2142;1104;1429;5;25;1;1;1;;0;1296;1520;1833;2075;2123;1168;1914;1842;1797;1770;1743;1640;1488;1336;1264;1248;1384;1456;1432;1336;1264;1208;1160;1120;1104;1104;1104;1120;1168;1152;1120;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
44300000;2;01/04/1934;;1;1;2334;671;1118;22;14;1;1;1;;0;1120;1080;1010;929;874;826;812;785;758;751;731;710;690;671;671;744;840;908;1002;1232;1743;2324;2200;1950;1815;1568;1408;1248;1104;1025;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;;
44300000;2;01/05/1934;;1;1;1600;625;887;6;30;1;1;1;;0;936;950;1168;1408;1512;1584;1488;1248;1112;1017;943;874;826;785;758;758;731;690;690;690;690;690;690;690;677;677;664;651;638;625;625;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
44300000;2;01/06/1934;;1;1;613;506;541;1;24;1;1;1;;0;613;613;601;601;595;576;576;564;564;552;541;541;535;535;529;529;523;523;518;518;512;512;512;506;506;506;506;506;506;506;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;;
44300000;2;01/08/1934;;1;1;288;;;3;;1;0;0;;0;;;288;283;283;278;278;278;278;274;274;274;274;274;274;274;274;274;274;269;274;274;274;274;274;274;274;274;278;283;283;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
44300000;2;01/09/1934;;1;1;483;288;322;30;1;1;1;1;;0;288;288;288;288;288;288;288;288;288;288;288;288;288;288;288;288;288;288;288;298;303;303;308;308;413;431;425;448;454;483;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;;
44300000;2;01/10/1934;;1;1;477;436;459;1;9;1;1;1;;0;477;471;448;448;448;448;448;448;436;436;436;436;448;460;460;460;460;465;465;465;465;465;465;471;471;471;471;471;471;471;471;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;
44300000;2;01/11/1934;;1;1;1860;471;818;22;1;1;1;1;;0;471;471;471;471;471;471;471;471;471;471;471;471;471;477;477;494;500;564;576;601;1152;1806;1648;1600;1648;1624;1528;1328;1224;1160;;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;;
